A CORUÃ‘A,1387
ALBACETE,8178D
ALICANTE,8025
ALMERIA,6297
ALAVA,9091O
ASTURIAS,1249I
AVILA,2444
BADAJOZ,4452
BARCELONA,0201D
BIZKAIA,1082
BURGOS,2331
CACERES,3469
CADIZ,5973
CANTABRIA,1110
CASTELLON,8501
CEUTA,5000C
CIUDAD REAL,4121
CORDOBA,5402
CUENCA,8096
GIPUZKOA,1024E
GIRONA,0370B
GRANADA,5530E
GUADALAJARA,3168D
HUELVA,4605
HUESCA,9898
ILLES BALEARS,B228
JAEN,5270B
LA RIOJA,9170
LAS PALMAS,C659H
LEON,2661
LLEIDA,9771
LUGO,1505
MADRID,3129
MALAGA,6156X
MELILLA,6000A
MURCIA,7178I
NAVARRA,9262
OURENSE,1690A
PALENCIA,2401
PONTEVEDRA,1495
SALAMANCA,2870
SEGOVIA,2465
SEVILLA,5783
SORIA,2030
STA. CRUZ DE TENERIFE,C449C
TARRAGONA,0016A
TERUEL,8368U
TOLEDO,3260B
VALENCIA,8416
VALLADOLID,2422
ZAMORA,2614
ZARAGOZA,9434
